row_index,review,clean_review,positive_terms,negative_terms,positive_score,negative_score,final_score,current_label,evidence_pattern,recommended_label_if_clear
9,"Tampilan baru nya keren , aplikasi jak one juga sangat berguna banget karenakan banyak fitur seperti Bayar pulsa, listrik dan lain lain nya dan gak perlu ribet",tampilan nya keren aplikasi jak one berguna banget karenakan fitur bayar pulsa listrik nya tidak ribet,tampilan:1; berguna:5; banget:1; bayar:1; ribet:4,aplikasi:-4; pulsa:-3; tidak:-5,12.0,-12.0,0.0,netral,keren; berguna; ribet,manual_review
19,"Harus di tingkatkan Saya melakukan transaksi tidak ada pemberitahuan berhasil tiba"" saldo tepotong dan tidak terkirim jg harus menunggu padahal lg urgend",tingkatkan melakukan transaksi tidak pemberitahuan berhasil tiba saldo tepotong tidak terkirim jg menunggu padahal lg urgend,transaksi:4; pemberitahuan:3; berhasil:3; saldo:2,tidak:-5; tidak:-5; menunggu:-3,12.0,-13.0,-1.0,negatif,,manual_review
39,"aplikasi yg mempermudahkan penggunanya dalam berbagai macam transaksi, dikarenakan dalam fitur aplikasi tersebut terdapat metode pembayaran qris. hal tersebut yg dapat membantu pengguna untuk melakukan transaksi apapun, fiturnya juga lengkap. manthull",aplikasi mempermudahkan penggunanya transaksi dikarenakan fitur aplikasi metode pembayaran qris membantu pengguna melakukan transaksi apapun fiturnya lengkap manthull,transaksi:4; membantu:4; pengguna:1; transaksi:4; lengkap:2,aplikasi:-4; aplikasi:-4; metode:-5,15.0,-13.0,2.0,positif,,manual_review
42,Kok gak bisa dibuka lagi ya,kok tidak bisa dibuka ya,ya:4,tidak:-5,4.0,-5.0,-1.0,negatif,,manual_review
43,"Aplikasinya sangat mudah fiturnyaa di gunakan, dan sangat cepat untuk bertransaksi pake aplikasi ini",aplikasi mudah fiturnyaa gunakan cepat bertransaksi pakai aplikasi,mudah:4; cepat:3; bertransaksi:3,aplikasi:-4; aplikasi:-4,10.0,-8.0,2.0,positif,aplikasi mudah; cepat,positif
56,"Aplikasi ini memudahkan untuk melakukan pembayaran dengan melakukan scanning pada QR, top banget pokonyaa, jangan lupa selalu gunakan jakone",aplikasi memudahkan melakukan pembayaran melakukan scanning qr top banget pokonyaa jangan lupa gunakan jakone,memudahkan:3; top:5; banget:1,aplikasi:-4; jangan:-3; lupa:-1,9.0,-8.0,1.0,positif,memudahkan,positif
62,"aplikasi yg memundahkan dalam urusan bayar"" dan pembelian seperti pulsa dan kuota sangat amat mudah. terutama memudahkan dalam membayar seperti tagihan air, listrik dll. tanpa ribet dan tentunya satset sekali",aplikasi memundahkan urusan bayar pembelian pulsa kuota amat mudah terutama memudahkan membayar tagihan air listrik dll ribet tentunya satset,bayar:1; amat:4; mudah:4; terutama:4; memudahkan:3,aplikasi:-4; pulsa:-3; kuota:-2; membayar:-3; air:-1; ribet:-4,16.0,-17.0,-1.0,negatif,memudahkan; ribet,manual_review
65,"Aplikasi mbanking sangat bagus, banyak manfaatnya, sekaligus banyak sekali fitur didalamnya, kalian wajib download aplikasi yg mempunya ATM jakone karena bermanfaat sekali",aplikasi mbanking bagus manfaatnya sekaligus fitur didalamnya kalian wajib download aplikasi mempunya atm jakone bermanfaat,bagus:2; manfaatnya:3; bermanfaat:5,aplikasi:-4; wajib:-2; aplikasi:-4,10.0,-10.0,0.0,netral,bagus,positif
68,"Aplikasi nya keren dengan tampilan yang mudah di pahami,dan memudahkan dalam membayar internet,pulsa dan sebagai,pokoknya jakone mobile ,TOP BANGET",aplikasi nya keren tampilan mudah pahami memudahkan membayar internet pulsa pokoknya jakone mobile top banget,tampilan:1; mudah:4; memudahkan:3; top:5; banget:1,aplikasi:-4; membayar:-3; pulsa:-3; pokoknya:-3,14.0,-13.0,1.0,positif,keren; memudahkan,positif
72,Mantap apk ini bisa buat nabung juga aman,mantap aplikasi bisa nabung aman,mantap:5,aplikasi:-4,5.0,-4.0,1.0,positif,mantap,positif
74,"PERCUMA MAU SELFIE AJA GK BISA ,MUTER TERUS",percuma selfie tidak bisa muter,percuma:4; selfie:2,tidak:-5,6.0,-5.0,1.0,positif,,manual_review
82,bikin uwe makin rajin nabung nih app!????,bikin uwe rajin nabung nih aplikasi,rajin:4,aplikasi:-4,4.0,-4.0,0.0,netral,,manual_review
83,APLIKASI YG SANGAT MUDAH UNTUK MEMBUKA REKENING BANK DKI,aplikasi mudah membuka rekening bank dki,mudah:4,aplikasi:-4,4.0,-4.0,0.0,netral,aplikasi mudah,positif
87,tolong dibuka topup pinjamannya bang jakone saya mau top up katanya limit 250j.saya masih ada limit tapi GK bisa dipakai.,tolong dibuka topup pinjamannya bang jakone top up katanya limit 250j limit tidak bisa dipakai,tolong:3; top:5,katanya:-1; tidak:-5,8.0,-6.0,2.0,positif,,manual_review
95,"ANEH, UDH MASUKIN NO HP YG BENER TETAP AJA GA BISA👎",aneh masukin no hp bener tidak bisa,aneh:4; bener:3,tidak:-5,7.0,-5.0,2.0,positif,,manual_review
96,mau daftar bank jakone online tapi gak bisa. admin bisa bantu??,daftar bank jakone online tidak bisa admin bisa bantu,daftar:1; bantu:3,tidak:-5,4.0,-5.0,-1.0,negatif,,manual_review
98,kok sekarang pakek qris gk bisa ya,kok pakek qris tidak bisa ya,ya:4,tidak:-5,4.0,-5.0,-1.0,negatif,,manual_review
100,"Kode OTP nya ga masuk-masuk, padahal internet stabil + ada pulsanya, tolong dong di perbaiki segera.",kode otp nya tidak masuk masuk padahal internet stabil pulsanya tolong perbaiki segera,masuk:3; stabil:3; tolong:3; segera:3,kode:-3; tidak:-5; masuk:-3,12.0,-11.0,1.0,positif,,manual_review
101,Jakone kenapa ya sekarang error' terus?,jakone kenapa ya error,ya:4,error:-5,4.0,-5.0,-1.0,negatif,error,negatif
102,Aplikasi nya bagus sangat membantu,aplikasi nya bagus membantu,bagus:2; membantu:4,aplikasi:-4,6.0,-4.0,2.0,positif,sangat membantu; bagus,positif
103,"Kerennn ternyata bank daerah juga punya m bangking yg bagus, ga nyangka mana apk nya bagus lagi ga ribet",kerennn ternyata bank daerah punya m bangking bagus tidak nyangka aplikasi nya bagus tidak ribet,punya:3; bagus:2; nyangka:3; bagus:2; ribet:4,tidak:-5; aplikasi:-4; tidak:-5,14.0,-14.0,0.0,netral,bagus; keren; ribet,manual_review
111,Good.apk nya,good aplikasi nya,good:5,aplikasi:-4,5.0,-4.0,1.0,positif,,manual_review
115,"Mantap aplikasinya, sangat recomen",mantap aplikasi recomen,mantap:5,aplikasi:-4,5.0,-4.0,1.0,positif,mantap,positif
