review,clean_review,current_label,lexicon_score,suggested_label,reason,evidence_pattern,confidence_level,category
Kok saya ga bisa login ya buat aktivasi,kok tidak bisa login ya aktivasi,positif,1.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high,negative_pattern
"Sebwlumnya saya pake apl ini di iphone krn iphone saya rusak pindah ke android, tp kenapa g bisa login ya min?udah di klik ya sudah punya rekening tapi disuruh bikin rek lagi🤔 balik lagi balik lagi😑",sebwlumnya pakai apl iphone iphone rusak pindah android kenapa tidak bisa login ya min udah klik ya punya rekening disuruh bikin rek balik balik,positif,2.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high,negative_pattern
Gak bisa login ini gmna? Aneh bngt ya,tidak bisa login gmna aneh bngt ya,positif,3.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high,negative_pattern
Knp hanlbis diperbarui malah gabisa login ya? Alasannya jaringan internet. Padahal sudah pakai wifi dan jaringanpun stabil,knp hanlbis diperbarui tidak bisa login ya alasannya jaringan internet padahal pakai wifi jaringanpun stabil,positif,5.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high,negative_pattern
"Ganti nomor telpon, udah datang ke Bank DKI buat verifikasi jika sudah mengganti nomor telpon di jakone tapi sampai sekarang ga bisa login/aktivasi ulang, hadehhh... Aneh...",ganti nomor telpon udah bank dki verifikasi mengganti nomor telpon jakone tidak bisa login aktivasi ulang hadehhh aneh,positif,4.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high,negative_pattern
"Mohon diperbaiki sistemnya. Kenapa tidak bisa login tiba-tiba. Bahkan setelah chat CS, solusinya harus ke kantor cabang.",mohon diperbaiki sistemnya kenapa tidak bisa login tiba tiba bahkan setelah chat cs solusinya kantor cabang,positif,3.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high,negative_pattern
Tidak bisa login malah diarahkan ke pembukaan rekening mulu padahal udah di klik YA pas pertanyaan apakah anda sudah memiliki rekening,tidak bisa login diarahkan pembukaan rekening mulu padahal udah klik ya pas pertanyaan apakah memiliki rekening,positif,4.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high,negative_pattern
"Knp pas di update kok tidak bisa login, di sampaikan untuk mendownload di play store... Aneh",knp pas update kok tidak bisa login sampaikan mendownload play store aneh,positif,2.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high,negative_pattern
"minta tolong, kenapa saya tidak bisa login, setelah ganti hp , padahal nomor telepon unseur name benr dan sandi, nomer tlpon pun sudah bntr,sudah verivikasi semua malah dapet usser kode 🙏🙏 ribett bagt si ya Allah",minta tolong kenapa tidak bisa login setelah ganti hp padahal nomor telepon unseur name benr sandi nomer tlpon bntr verivikasi dapet usser kode ribett bagt si ya allah,positif,11.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high,negative_pattern
"setelah ada notif ""transaksi baru bisa digunakan kembali setelah lampu di aplikasi berwarna hijau""... hiih abis maintenance malah ga bisa login. alhasil akun terkunci hadeuh",setelah notif transaksi bisa digunakan setelah lampu aplikasi berwarna hijau hiih abis maintenance tidak bisa login alhasil akun terkunci hadeuh,netral,0.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high,negative_pattern
ini kenapa saya gabisa login ya padahal sudah pengajuan untuk membuat mbangking,kenapa tidak bisa login ya padahal pengajuan membuat mbangking,netral,0.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high,negative_pattern
"Sinyal saya bagus, kenapa gk bisa login. Selalu muncul ""tulisan sesi telah habis"".",sinyal bagus kenapa tidak bisa login muncul tulisan sesi habis,positif,1.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high,negative_pattern
"aplikasi aneh,tiba "" tidak bisa login mbanking namun setelah di coba LG, password terblokir... tolong lah perbaiki, lalu bagaimana ini",aplikasi aneh tiba tidak bisa login mbanking setelah coba lg password terblokir tolong perbaiki,netral,0.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high,negative_pattern
gagal login terus menerus tolong segera d perbaiki,gagal login menerus tolong segera d perbaiki,positif,2.0,negatif,negative_pattern: label conflicts with clear negative phrase,gagal login,high,negative_pattern
Kenapa kode OTP tidak pernah masuk Susah sekali untuk menerima kode otp nya Tolong min berikan sosuli Kalau dapat solusi saya kasih bintang lima untuk sementara bintang dua dulu,kenapa kode otp tidak masuk susah menerima kode otp nya tolong min berikan sosuli solusi kasih bintang bintang,netral,0.0,negatif,negative_pattern: label conflicts with clear negative phrase,otp tidak masuk,high,negative_pattern
Ini kenapa otp ga masuk2 ya padahal pulsa ada internet lancar,kenapa otp tidak masuk2 ya padahal pulsa internet lancar,netral,0.0,negatif,negative_pattern: label conflicts with clear negative phrase,otp tidak masuk,high,negative_pattern
"Saat daftar, otp tidak masuk. Padahal sudah tersedia pulsa dan berbagai macam cara dilakukan",daftar otp tidak masuk padahal tersedia pulsa dilakukan,netral,0.0,negatif,negative_pattern: label conflicts with clear negative phrase,otp tidak masuk,high,negative_pattern
"Saya sudah sesuai panduan Sudah masuk NIK sudah sesuai, nomer rekening sudah sesuai , tanggal lahir sudah sesuai, dan alamat email sudah sesuai,, tapi verifikasi gagal Gimanah yaa?? Banyak gk bisa masuuukkk",sesuai panduan masuk nik sesuai nomer rekening sesuai tanggal lahir sesuai alamat email sesuai verifikasi gagal gimanah yaa tidak bisa masuuukkk,positif,2.0,negatif,negative_pattern: label conflicts with clear negative phrase,verifikasi gagal,high,negative_pattern
Kenapa verifikasi gagal mulu ya?,kenapa verifikasi gagal mulu ya,positif,2.0,negatif,negative_pattern: label conflicts with clear negative phrase,verifikasi gagal,high,negative_pattern
Ini saya mau pindah device verifikasi selalu gagal padahal semua data sudah sesuai tolong follow up nya.,pindah device verifikasi gagal padahal data sesuai tolong follow up nya,netral,0.0,negatif,negative_pattern: label conflicts with clear negative phrase,verifikasi gagal,high,negative_pattern
"Gajls transaksi gagal tapi saldo terpotong, udh gitu baliknya lama lagi kesaldo utamanya berhari hari, tolong dong dipercepat dan diperbaiki lagi pelayanannya, sudah 3x begini dalam 1 bulan",gajls transaksi gagal saldo terpotong gitu baliknya kesaldo utamanya berhari hari tolong dipercepat diperbaiki pelayanannya 3x 1 bulan,positif,1.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"aplikasinya masih dalam tahap percobaan ya??? ngirim uang ke dana transaksi gagal, tapi uangnya ke sudah terkirim di istory. aplikasinya masih banyak kurangnya coba dong di perbaiki",aplikasi tahap percobaan ya ngirim uang dana transaksi gagal uangnya terkirim istory aplikasi kurangnya coba perbaiki,positif,2.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"makin kesini makin aneh banget JakOne, sinyal sudah bagus tapi tidak bisa transaksi, sekali transaksi gagal saldo tapi kepotong, perbaiki sistem nya biar banyak pengguna nya yg gak kecewa",kesini aneh banget jakone sinyal bagus tidak bisa transaksi transaksi gagal saldo kepotong perbaiki sistem nya biar pengguna nya tidak kecewa,positif,1.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
