pattern,total_matches,label_positif_count,label_negatif_count,label_netral_count,suspect_non_positive_count,example_correct_positive,example_suspect_non_positive,candidate_action
mudah digunakan,582,514,49,19,68,"review=Aplikasinya keren banget dan mudah digunakan, banyak fitur yg membantu, transaksi nya juga mudah sekali dan responsif | clean_review=aplikasi keren banget mudah digunakan fitur membantu transaksi nya mudah responsif | lexicon_score=13.0 | label=positif","review=Aplikasi nya sangat bagus sekali sangat mudah digunakan , untuk pemula fitur nya juga tidak membingungkan sangat recommended sekali | clean_review=aplikasi nya bagus mudah digunakan pemula fitur nya tidak membingungkan recommended | lexicon_score=-3.0 | label=negatif",review non-positive labels; high-confidence correction if phrase is standalone positive
mudah dipakai,26,25,1,0,1,review=Aplikasi baru jadi lebih canggih dan mudah dipakai. Top markotop???????? | clean_review=aplikasi lebih canggih mudah dipakai top markotop | lexicon_score=6.0 | label=positif,"review=Aplikasinya sangat mudah dipakai, di aplikasi ini juga terdapat banyak macam pembayaran. The best pokoknya | clean_review=aplikasi mudah dipakai aplikasi pembayaran the best pokoknya | lexicon_score=-7.0 | label=negatif",review non-positive labels; high-confidence correction if phrase is standalone positive
gampang digunakan,29,24,3,2,5,"review=Jackone the best bgt, gampang digunakan buat transaksi dimanapun kapan aja, ui usernya juga friendly 😭🫶 good job deh 👏 | clean_review=jackone the best banget gampang digunakan transaksi dimanapun kapan ui usernya friendly good job deh | lexicon_score=14.0 | label=positif",review=Aplikasi ini gampang digunakan dan ga ribet deh pokoknya | clean_review=aplikasi gampang digunakan tidak ribet deh pokoknya | lexicon_score=-4.0 | label=negatif,review non-positive labels; high-confidence correction if phrase is standalone positive
gampang dipakai,7,6,0,1,1,"review=Aplikasi Jakone Mobile ini keren banget! Layanannya lengkap, dari transfer, bayar tagihan, sampai beli pulsa, semua ada. Desainnya juga simpel dan gampang dipakai, jadi gak ribet. Pokoknya mantap! | clean_review=aplikasi jakone mobile keren banget layanannya lengkap transfer bayar tagihan beli pulsa desainnya simpel gampang dipakai tidak ribet pokoknya mantap | lexicon_score=7.0 | label=positif",review=Aplikasi nya gampang dipakai | clean_review=aplikasi nya gampang dipakai | lexicon_score=0.0 | label=netral,review non-positive labels; high-confidence correction if phrase is standalone positive
aplikasi mudah,571,469,74,28,102,"review=Apk yg mudah di pahami, no eror eror .. gampang bnget jadi bertransaksi... Trimakasih jakone mobile.. sukses selalu | clean_review=aplikasi mudah pahami no error error gampang bnget bertransaksi trimakasih jakone mobile sukses | lexicon_score=4.0 | label=positif",review=APLIKASI YG SANGAT MUDAH UNTUK MEMBUKA REKENING BANK DKI | clean_review=aplikasi mudah membuka rekening bank dki | lexicon_score=0.0 | label=netral,review non-positive labels; high-confidence correction if phrase is standalone positive
sangat membantu,722,629,41,52,93,review=Sangat membantu dalam proses transfer | clean_review=membantu proses transfer | lexicon_score=5.0 | label=positif,review=Apk yang sangat membantu | clean_review=aplikasi membantu | lexicon_score=0.0 | label=netral,review non-positive labels; high-confidence correction if phrase is standalone positive
membantu sekali,103,92,7,4,11,"review=Saya sangat sibuk di dalam rumah, JakOne sangat membantu sekali dengan pengelolaan keuangan saya | clean_review=sibuk rumah jakone membantu pengelolaan keuangan | lexicon_score=11.0 | label=positif",review=Aplikasi nya sangat membantu sekali | clean_review=aplikasi nya membantu | lexicon_score=0.0 | label=netral,review non-positive labels; high-confidence correction if phrase is standalone positive
praktis,244,227,11,6,17,"review=Bagus, sangat praktis digunakan sehar-hari... Sipp pokonya. Pertahankan terus kualitasnya JakOne! | clean_review=bagus praktis digunakan sehar hari sipp pokonya pertahankan kualitasnya jakone | lexicon_score=5.0 | label=positif","review=Akhirnya nemu juga, aplikasi yang praktis banget dipakai buar pembayaran, bisa qris juga, dan pastinya ringan dipake, gak makan banyak memori. | clean_review=akhirnya nemu aplikasi praktis banget dipakai buar pembayaran bisa qris pastinya ringan dipake tidak makan memori | lexicon_score=-5.0 | label=negatif",review non-positive labels; high-confidence correction if phrase is standalone positive
simple,241,220,17,4,21,review=Nyobain udah sebulan ini gak pernah ada kendala. Transfer juga sangat cepat dengan tampilan yang menarik dan simple. Keren JakOne mobile | clean_review=nyobain udah sebulan tidak kendala transfer cepat tampilan menarik simple keren jakone mobile | lexicon_score=6.0 | label=positif,review=aplikasinya bagus. simple gak bikin pusing proses transfernya juga cepet makasih Keren banget nih aplikasi salut sama yang buat | clean_review=aplikasi bagus simple tidak bikin pusing proses transfernya cepet makasih keren banget nih aplikasi salut | lexicon_score=-4.0 | label=negatif,review non-positive labels; high-confidence correction if phrase is standalone positive
simpel,148,130,16,2,18,"review=JakOne Mobile tu aplikasi perbankan yang praktis dan user-friendly. proses pendaftarannya mudah dan cepet, sehingga ngga makan banyak waktu. Tampilan aplikasinya simpel namun modern, membuat navigasi jadi lebih nyaman ba | clean_review=jakone mobile tu aplikasi perbankan praktis user friendly proses pendaftarannya mudah cepet sehingga ngga makan tampilan aplikasi simpel modern membuat navigasi lebih nyaman bahkan pengguna | lexicon_score=16.0 | label=positif","review=Applikasi nya bagus bgd, mempermudah di era jaman skrg yg semuanya serba digital, bayar ini itu simpel gampang, ga ribet dah .. | clean_review=applikasi nya bagus bgd mempermudah era jaman skrg semuanya serba digital bayar simpel gampang tidak ribet dah | lexicon_score=-2.0 | label=negatif",review non-positive labels; high-confidence correction if phrase is standalone positive
