row_index,review_id,review,clean_review,rating,year,split_set,lexicon_score,label_original,label,label_source,refinement_reason,evidence_pattern,confidence_level
9,efe2ad0c-e387-4552-98b5-383efe2db57d,"Tampilan baru nya keren , aplikasi jak one juga sangat berguna banget karenakan banyak fitur seperti Bayar pulsa, listrik dan lain lain nya dan gak perlu ribet",tampilan nya keren aplikasi jak one berguna banget karenakan fitur bayar pulsa listrik nya tidak ribet,5,2022,train,0.0,netral,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,berguna,high
62,12e636cb-0de4-4542-81a2-2b495a71349a,"aplikasi yg memundahkan dalam urusan bayar"" dan pembelian seperti pulsa dan kuota sangat amat mudah. terutama memudahkan dalam membayar seperti tagihan air, listrik dll. tanpa ribet dan tentunya satset sekali",aplikasi memundahkan urusan bayar pembelian pulsa kuota amat mudah terutama memudahkan membayar tagihan air listrik dll ribet tentunya satset,5,2025,train,-1.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
65,25b6a666-ae79-4fcd-92d7-7f97136975af,"Aplikasi mbanking sangat bagus, banyak manfaatnya, sekaligus banyak sekali fitur didalamnya, kalian wajib download aplikasi yg mempunya ATM jakone karena bermanfaat sekali",aplikasi mbanking bagus manfaatnya sekaligus fitur didalamnya kalian wajib download aplikasi mempunya atm jakone bermanfaat,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
71,f70adb62-b191-49c0-84a8-626ea660a583,Mantappssssss,mantappssssss,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,mantap,high
73,f047c365-dd46-4169-8e89-f2128751bee6,"Akhirnya nemu juga, aplikasi yang praktis banget dipakai buar pembayaran, bisa qris juga, dan pastinya ringan dipake, gak makan banyak memori.",akhirnya nemu aplikasi praktis banget dipakai buar pembayaran bisa qris pastinya ringan dipake tidak makan memori,5,2023,test,-5.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,praktis,high
83,73ecfc22-4877-40b3-9c5d-4a9d3ae5bb03,APLIKASI YG SANGAT MUDAH UNTUK MEMBUKA REKENING BANK DKI,aplikasi mudah membuka rekening bank dki,5,2024,validation,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,aplikasi mudah,high
90,d8aa7522-eaa2-43b8-b663-ed8370add18c,"aplikasi jakone adalah yang sangat berguna, mantul banget dan aplikasi dengan tampilannya selalu baru, mudah dipahami serta dilengkapi dengan fitur2 sehingga dapat digunakan dalam pembelian bayar PLN internet dan pulsa juga ternyata, ihh aplikasi jakone emang top deh!! best",aplikasi jakone berguna mantul banget aplikasi tampilannya mudah dipahami dilengkapi fitur2 sehingga digunakan pembelian bayar pln internet pulsa ternyata ihh aplikasi jakone emang top deh best,5,2022,test,-4.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,berguna,high
156,8a1d30b2-7bc9-4e13-a489-8319558a9752,"Aplikasi nya sangat bagus sekali sangat mudah digunakan , untuk pemula fitur nya juga tidak membingungkan sangat recommended sekali",aplikasi nya bagus mudah digunakan pemula fitur nya tidak membingungkan recommended,5,2024,train,-3.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mudah digunakan,high
167,50011ff1-63f7-47d6-a5de-93b3b3ff3970,Aplikasi JakOne mobile sangat mantappp! versi terbarunya malah makin lengkap lagi.,aplikasi jakone mobile mantappp versi terbarunya lengkap,5,2022,train,-2.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mantap,high
174,32580a94-3c98-4cc3-bb42-d510735110cc,Apk yang sangat membantu,aplikasi membantu,5,2024,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,sangat membantu,high
