review,label,split_set,review_id,clean_review,rating,review_date,app_version,thumbs_up_count,year,lexicon_score_v3,label_v3
jakone mobile semoga sukses,positif,train,0155fd4d-f56e-44d5-aceb-1f4b44583dc8,jakone mobile semoga sukses,5,2023-04-30 14:19:50,1.0.10,0,2023,0.6,positif
sbg pedagang kecewa pakai qris bank dki ngak bisa transaksi memalukan setelah tarik uang semuanya tutup rekening bang dki bikin rugi usaha,negatif,test,738d8de2-b1a8-415c-8d0b-de367eee3255,sbg pedagang kecewa pakai qris bank dki ngak bisa transaksi memalukan setelah tarik uang semuanya tutup rekening bang dki bikin rugi usaha,1,2025-04-04 00:52:11,2.17.1,1,2025,-2.2,negatif
sampah duit gw balikin oi 1 juta narik 2 juta ilang 1 juta mesin atm,negatif,train,e7cd26e8-c9e5-430b-972b-0b443f32e808,sampah duit gw balikin oi 1 juta narik 2 juta ilang 1 juta mesin atm,1,2026-02-14 20:02:43,2.18.0,0,2026,-0.6,negatif
aplikasi sampah buang pulsa otp tidak bisa aktivasi,negatif,val,3c602dd5-d2da-4d86-81f7-30a9a70a57ef,aplikasi sampah buang pulsa otp tidak bisa aktivasi,1,2025-05-06 00:16:48,2.17.1,0,2025,-2.0,negatif
tampilan nya wow,positif,train,784745bb-5004-4e28-b60f-ed887af82d8a,tampilan nya wow,5,2022-07-21 21:46:31,1.0.0,0,2022,0.2,positif
woalah ko gede banget sih transfer dana 1 transfer 50 000 dana bank jakarta kena admin2 500 2 uang udah masuk nya 50 000 rek bank jakarta potong 10 000 saldo nya parah banget pencurian saldo nih bank jakarta pantas tidak pakai m banking jakone tolong perbaiki sistem hitungan teransfer bank fee nya jangan kayak gitu hadeuh,negatif,train,d9ae8a94-5e3e-4fa3-a390-5736d28fcc1d,woalah ko gede banget sih transfer dana 1 transfer 50 000 dana bank jakarta kena admin2 500 2 uang udah masuk nya 50 000 rek bank jakarta potong 10 000 saldo nya parah banget pencurian saldo nih bank jakarta pantas tidak pakai m banking jakone tolong perbaiki sistem hitungan teransfer bank fee nya jangan kayak gitu hadeuh,1,2025-11-23 21:58:36,,0,2025,-1.6,negatif
bgusss,netral,train,c3c8d335-11c3-4a0e-8a78-03ab8b09f905,bgusss,5,2023-10-23 11:12:32,2.2.0,0,2023,0.0,netral
transfer pakai bi fast gagal pas laporan tunggunya 20hari kerja emang klo bank lokal lambat kerjanya ampun daahh indonesia,negatif,train,d752dba0-df53-44b0-a89f-81cb7251e6ac,transfer pakai bi fast gagal pas laporan tunggunya 20hari kerja emang klo bank lokal lambat kerjanya ampun daahh indonesia,1,2024-11-19 13:57:30,2.14.0,0,2024,-2.0,negatif
oke,positif,train,79c84af7-d8dd-4e3f-8836-44144b0c5219,oke,4,2025-04-07 10:27:08,2.17.1,0,2025,0.6,positif
mudah n lancar,positif,train,c06a5e13-4917-48bb-a18d-5f164876ee2b,mudah n lancar,5,2023-04-20 02:55:28,1.0.9,0,2023,1.6,positif
aplikasi bagus top up mudah sukses,positif,val,e6428a89-193f-4db3-8fd5-0c223fbaa49b,aplikasi bagus top up mudah sukses,5,2024-02-01 10:22:28,,0,2024,3.0000000000000004,positif
lebih gampang transaksi klo pakai jakone cepat aman,positif,train,20f3bedd-3039-4ed0-a390-06a2ac66d83c,lebih gampang transaksi klo pakai jakone cepat aman,5,2022-10-15 08:24:34,1.0.2,0,2022,2.0,positif
aplikasi jakone mobile ngebantu banget bisa bayar tagihan listrik beli paket data bisa top up e wallet registrasinya mudah banget apalagi promonya makasih jakone udah mempermudah transaksi,positif,train,a4bb9bcd-c259-441e-9d35-068dd1124da1,aplikasi jakone mobile ngebantu banget bisa bayar tagihan listrik beli paket data bisa top up e wallet registrasinya mudah banget apalagi promonya makasih jakone udah mempermudah transaksi,5,2025-01-09 09:02:41,,0,2025,3.6,positif
setiap verifikasi data error buang pulsa dateng kantor cabang pusat nya sampe skrg belum ad solusi kantor cabang nya kantor cabang menghubungi pihak it pusat katanya suruh coba menerus akhirnya ujung nya pulsa habis total 30rb tolong kedepannya lebih urus perihal login akses verifikasi datanya menggangu,positif,train,2679b3d2-4bfe-4e91-a7b5-2588ed662f3f,setiap verifikasi data error buang pulsa dateng kantor cabang pusat nya sampe skrg belum ad solusi kantor cabang nya kantor cabang menghubungi pihak it pusat katanya suruh coba menerus akhirnya ujung nya pulsa habis total 30rb tolong kedepannya lebih urus perihal login akses verifikasi datanya menggangu,1,2026-01-07 10:03:00,2.18.0,8,2026,0.1999999999999998,positif
kenapa menampilkan muka gagal padahal pencahayaan bagus gagal,negatif,train,9d376282-e039-48e3-b73f-9799bfb5abd4,kenapa menampilkan muka gagal padahal pencahayaan bagus gagal,1,2022-10-23 22:33:15,,0,2022,-1.6,negatif
aplikasi cepat ndak lelet tampilan menunya mudah dipahami nasabah bisa mudah bertransaksi,positif,train,ef413bcb-b551-4c06-8364-c7b16cd0dd4f,aplikasi cepat ndak lelet tampilan menunya mudah dipahami nasabah bisa mudah bertransaksi,5,2022-09-03 05:43:20,1.0.0,0,2022,2.4,positif
semenjak aplikasi bru hari muter trss susah msuk jakone mobile,negatif,train,a1106602-5482-4c79-bc40-273063af14d4,semenjak aplikasi bru hari muter trss susah msuk jakone mobile,3,2023-03-19 23:24:59,1.0.8,1,2023,-0.6,negatif
aplikasi bermanfaat registrasi mudah fiturnya lengkap bisa buka rekening online fitur pembelian pembayaran mantap,positif,val,c7ac8242-6c58-404b-92b0-0baa5e8047db,aplikasi bermanfaat registrasi mudah fiturnya lengkap bisa buka rekening online fitur pembelian pembayaran mantap,5,2022-11-24 16:28:17,1.0.4,0,2022,3.2,positif
jakone mobile membantu dasarnya mageran kemana full rumah sbg irt pembelian pulsa kuota pln transfer antar bank tentunya msh bnyak lg recommended ya,positif,train,b58dd730-f2f9-4834-8ebf-9b5fb31cba6a,jakone mobile membantu dasarnya mageran kemana full rumah sbg irt pembelian pulsa kuota pln transfer antar bank tentunya msh bnyak lg recommended ya,5,2022-11-21 15:38:08,1.0.4,0,2022,2.0,positif
aplikasi gmn sih masuk mobile banking diarahin buka rekening padahal udah punya rekeningnya,netral,train,328d3e9a-d3f8-454e-823b-f5b2289e02b8,aplikasi gmn sih masuk mobile banking diarahin buka rekening padahal udah punya rekeningnya,1,2024-06-06 11:38:19,2.12.0,0,2024,0.0,netral
