word	weight
(barang) bekas	-0.8
(olahraga) bokser	-1.0
(tua) uzur	-0.6
aahh	-0.6
aba-aba	-0.6
abai	-0.6
abaikan	-0.4
abar-abar	-1.0
abdi negara	-0.6
abg	-0.4
abis	-0.4
abnormalitas	-0.8
abolisi	-0.6
abon	-0.8
aborsi	-0.6
absen	-0.6
abses	-0.8
absurd	-0.6
abu-abu	-0.4
abuk	-0.6
abur	-1.0
acak	-1.0
acak-acakan	-1.0
acau	-0.8
aco-acoan	-1.0
acoan	-1.0
acu	-0.8
acuh tak acuh	-0.6
adang	-0.6
addict	-0.6
adegan	-0.8
adiktif	-0.8
adimarga	-0.8
adon	-0.8
adu	-0.6
aduh	-0.6
aduk	-0.6
afiliasi	-0.8
agama	-0.6
agar	-0.6
agen	-0.6
agen rahasia	-0.6
ahli bahasa	-0.6
ahmak	-0.6
aib	-1.0
aiku	-1.0
ain	-1.0
air	-0.2
air liur	-0.4
ajakan	-0.6
ajal	-0.8
ajang	-0.6
ajar	-0.6
aju	-0.6
ajuk	-1.0
akar	-0.6
akibat	-0.6
akik	-0.6
akreditasi	-0.6
aksa	-0.8
aksioma	-0.6
aktif	-0.6
akumah	-0.6
akunya	-0.2
akut	-1.0
alah	-0.8
alahan	-0.6
alai-belai	-0.6
alami	-0.6
alamiah	-0.6
alat kelamin	-0.6
alat negara	-0.6
alat vital	-0.4
alay	-0.8
albumnya	-0.4
alergi	-0.6
aliansi	-0.8
alir udara	-0.2
aliran udara	-0.2
alkisah	-0.8
alku	-1.0
alobar	-0.8
alone	-0.6
alpa	-0.6
alur	-0.8
amah	-1.0
amandel	-1.0
amarah	-1.0
amat sangat	-0.6
amatin	-0.4
ambai	-1.0
ambalan	-0.8
ambau	-1.0
ambigu	-0.6
ambiguitas	-1.0
ambil	-1.0
amblas	-0.6
ambles	-0.8
ambruk	-1.0
amburadul	-1.0
ametis	-0.8
amit	-0.8
amor	-0.8
amoral	-0.6
ampai	-0.8
ampas	-0.6
ampas kopi	-0.4
ampel	-0.6
ampela	-1.0
ampu	-1.0
ampun	-0.6
ampuni	-0.4
amtenar	-0.6
amuk	-1.0
ana	-0.6
anak	-0.6
anak air	-0.8
anak bawang	-0.4
anak bedil	-0.6
anak bukit	-0.8
anak cucu	-0.6
anak penak	-0.6
anak pinak	-0.6
anak-anakan	-0.6
analitis	-0.8
anarki	-0.8
ancai	-1.0
ancam	-0.8
ancaman	-0.8
anda	-0.8
andeka	-0.6
anekdot	-0.8
anggai	-0.6
anggara	-0.8
