word	weight
maintenance	-4
gangguan	-4
gagal login	-5
login gagal	-5
otp gagal	-5
gagal otp	-5
ngebug	-4
bug	-3
glitch	-4
dipersulit	-4
ga bisa	-3
gak bisa	-3
tidak bisa login	-5
susah banget	-4
lambat banget	-4
lemot banget	-4
eror terus	-5
error terus	-5
sering crash	-5
force close	-5
server down	-5
loading lama	-3
tidak responsif	-4
tidak bisa	-3
gabisa	-3
gaboleh	-3
ribet banget	-4
susah digunakan	-4
tidak jelas	-3
tidak berguna	-4
tidak membantu	-4
mengecewakan	-4
kecewa	-4
kecewaa	-4
kecewaaa	-4
buruk banget	-5
jelek banget	-5
parah banget	-5
menyebalkan	-4
menyebalkan banget	-5
tidak aman	-5
data hilang	-5
saldo hilang	-5
uang hilang	-5
ditipu	-5
penipuan	-5
lama banget	-4
lambat sekali	-4
tidak update	-3
banyak bug	-4
banyak gangguan	-5
sering gangguan	-5
tidak stabil	-4
aplikasi crash	-5
tidak bisa transfer	-5
transfer gagal	-5
verifikasi gagal	-4
wajah tidak terdeteksi	-4
