word	weight
recommended	4
rekomen	4
rekomend	4
keren	4
mantapppp	5
mantap banget	5
bagud	3
baguss	3
bagus banget	4
userfriendly	4
user friendly	4
kece	3
canggih	4
oke banget	4
top banget	5
worth it	4
helpful	4
good	4
best	4
simple	3
jempolan	4
sempurna	5
luar biasa	5
memudahkan	4
mempermudah	4
responsif	4
cepat banget	4
mudah banget	4
lengkap banget	4
aman	3
terpercaya	4
andalan	4
favorit	3
sip	3
sipp	3
sippp	3
oke	3
okelah	3
mantul	4
gokil	3
keren banget	5
asik	3
asikk	3
nyaman banget	4
lancar banget	4
yeay	3
yeesss	3
alhamdulillah	3
terima kasih jakone	4
puas	4
memuaskan banget	5
