word	weight
(hujan) gerimis	0.2
(warna) dadu	0.6
aamiin	0.4
ab	0.6
aba	0.4
abadi	0.8
abah	0.6
abi	0.4
abid	0.6
absorpsi	0.6
absurd	0.6
abu	0.6
acuh tak acuh	0.8
ada	0.8
adab	0.6
adakala	0.6
adaptasi	0.4
adek	0.2
adi	0.4
adika	1.0
adil	0.8
adiluhung	0.6
administrator	0.6
aduhai	0.8
adzan	0.6
afair	0.6
afdal	0.6
afeksi	0.4
afirmasi	0.6
agam	1.0
ahad	0.6
ahli agama	0.2
aja	0.2
ajak	0.2
aji	0.8
ajojing	0.6
ajudan	0.8
akas	0.4
akhlak	0.8
akidah	0.6
akil	0.8
akomodasi	0.6
akrab	0.6
aksi	0.4
aktivasi	0.4
aktual	0.8
aku	0.4
akuan	0.6
alaikum	0.4
alam	0.4
alangkah	0.8
album	0.6
alhamdulilah	0.6
alhamdulillah	1.0
alih generasi	0.8
alim	0.4
alim arif	0.8
allah	1.0
alot	0.2
amal	0.8
amalan	0.8
aman	0.6
amanah	1.0
ambilan	0.6
ambisi	0.8
amerta	0.6
amin	0.6
ampas (kopi)	0.6
amplop	0.6
anak adam	0.6
anak didik	0.6
anak sasian	0.6
anak sekolah	0.6
anakan	1.0
analisis	0.8
andai	0.4
andal	1.0
andalan	0.8
andini	0.4
andur	0.6
aneh	0.8
aneka	0.6
angan	0.6
angan-angan	0.8
anggapan	0.6
anggar	0.6
angguk	0.2
angkat	0.6
angkut	0.2
angpau	0.8
angsur	0.2
animo	0.8
anjung	0.8
ansar	0.8
anteng	0.8
antisipasi	0.6
antologi	0.2
antusiasme	0.6
anugerah	0.6
anyar	0.8
apas	1.0
api	0.8
arabika	0.4
arak	0.4
arif	0.8
arketipe	0.6
arsitektur	0.4
arti	0.2
artian	0.6
artifisial	0.6
artis	0.4
artistik	0.8
arung	0.2
asa	0.6
asah asih asuh	0.4
asasi	0.6
asih	0.6
asik	0.8
asikk	0.6
asket	0.4
asketisme	0.4
asli	0.4
asoi	0.6
asrama	0.6
asri	0.8
assalamualaikum	0.6
asuh	0.6
atasan	0.6
atensi	0.4
atom	0.6
atraktif	0.8
atur	0.8
autentik	0.6
awal	0.4
awas	0.8
awat	1.0
awet	0.8
aya	0.6
ayahanda	0.2
ayunan	0.6
azamat	0.8
aziz	0.4
babaran	0.6
babe	0.6
baby	0.4
baca	0.6
bagak	1.0
bagas	1.0
bagud	0.6
bagus	0.4
bagus banget	0.8
bagusan	0.4
baguss	0.6
bahadur	1.0
bahaduri	0.8
bahagia	0.8
bahas	0.4
bahasan	0.2
baik	0.6
baik-baik	0.6
baiklah	0.4
baiknya	0.2
bain	0.6
bajik	0.8
baju	0.4
bakat	0.8
bakh	0.8
bakir	0.8
baksis	0.4
bakti	0.8
balasan	0.6
banding	0.6
banget	0.2
bangga	0.6
bangkit selera	0.6
banjir	0.8
bantah-bantah	1.0
bantalan	0.6
bantuin	0.6
banyak	0.6
banyak akal	0.6
banyaknya	0.6
banyolan	0.6
bapa	0.6
bapanda	0.6
bapang	0.6
bareng	0.6
baring	0.4
batas (waktu)	0.6
batasan	0.6
batu	0.4
bausuku	0.6
bawaan	0.6
bayang	0.4
bayang-bayang	0.6
bayangan	0.6
bayangkara	0.6
beber	0.6
bebodoran	0.4
bedah	0.6
bedegap	0.6
bekal	0.6
bekas	0.8
belagu	0.8
belajar	0.6
belanja	0.4
belok	0.6
belom	0.2
belukar	0.6
benak kepala	0.6
benang raja	0.8
benar-benar	0.4
bener	0.6
beneran	0.6
bentuk	0.8
bentukan	0.6
bentur	0.2
bepergian	0.2
berada	0.8
berahi	1.0
berakal	0.8
berakibat	0.6
berakidah	0.8
beralas	0.8
beranak	0.6
beranak-pinak	0.4
beraras	0.8
berarti	0.2
beraturan	0.8
berbagai	0.6
berbagai macam	0.6
berbagi	0.4
berbahagia	0.8
berbakat	0.8
berbenak	0.6
berbentuk	0.6
berbetulan	0.6
berbobot	0.4
berbuah	0.4
berbudi pekerti yang baik	0.6
berbunga	0.6
berbusana	0.8
bercahaya	0.8
bercermin	0.8
bercita rasa	0.6
berdagang	0.6
berdandan	0.8
berdarah	0.8
berdaya	0.6
berdaya guna	0.8
berdendang	0.8
berderajat	0.8
berdiam	0.8
berdisiplin	0.8
berdoa	0.8
berdua	0.2
berduit	0.8
beredar	0.4
berembuk	0.6
berfaedah	0.8
bergairah	0.6
bergamat	0.8
bergantung	0.8
bergas	1.0
bergelora	0.4
bergeming	0.2
bergengsi	0.8
bergigi	0.6
bergolongan	0.8
berguna	1.0
berguru	0.6
berhajat	0.4
berharap	0.8
berharga	0.6
berharta	0.8
berhasil	0.6
berhasrat	0.6
berhati-hati	0.6
berhikmah	0.4
beri	0.4
beribadat	0.8
berikhtiar	0.6
beriktikad	0.4
berilmu	0.8
beriman	0.6
berimbas	0.6
berimbuh	0.2
berirama	0.8
beristirahat	0.6
berjaga-jaga	0.2
berjasa	0.8
berjaya	0.8
berjenis-jenis	0.6
berjihad	0.6
berjilbab	0.6
berjiwa	0.6
berjunjungan	0.8
berkaca	0.8
berkah	0.8
berkait	0.6
berkaitan	0.6
berkandung	1.0
berkarya	0.6
berkat	0.2
berkategori	0.8
berkawal	0.8
berkecambah	0.6
berkecukupan	0.8
berkedudukan	0.8
berkegiatan	0.8
berkeinginan	0.6
berkekuatan	1.0
berkenaan	0.8
berkenan	0.4
berkepercayaan	0.8
berkeras hati	0.8
berkesesuaian	0.6
berketurunan	0.4
berkeyakinan	0.6
berkhasiat	0.8
berkinte	0.6
berkobar-kobar	0.8
berkualitas	0.8
berkuasa	0.8
berkukuh	0.4
berlaba	0.8
berlagak	0.8
berlagu	0.8
berlangganan	0.4
berlanglang	0.8
berlarasan	0.6
berlatih	0.8
berlevel	0.8
berlezat	0.4
berlibat	0.6
berlilit	0.6
berlimpah	0.2
bermacam-macam	0.6
bermakna	0.8
bermanfaat	1.0
bermartabat	0.8
bermaslahat	0.4
bermohon	0.6
bermohon diri	0.4
bermutu	0.6
bernafsu	0.6
bernama	0.8
bernapaskan	0.6
bernilai	0.4
bernyali	0.8
bernyali besar	0.6
bernyanyi	0.4
beroleh	0.6
berotak tajam	0.8
berpacangan	0.6
berpacaran	0.6
berpakaian	0.8
berpamor	0.6
berpandangan	0.2
berparade	0.2
berpartisipasi	0.6
berpasrah	0.6
berpatokan	0.8
berpatroli	0.8
berpaut	0.6
berpedoman	0.8
berpegang	0.8
berpelajaran	0.8
berpembawaan	0.2
berpendidikan	0.6
berpengalaman	0.8
berpengaruh	0.6
berpengetahuan	0.8
berperan serta	0.4
berperingkat	0.8
berpilin	0.6
berpiuh	0.6
berpola	0.8
berprakarsa	0.6
berpulas	0.6
berpunya	0.8
berputra	0.6
bersagang	0.8
bersahabat	0.4
bersahaja	1.0
bersaji	0.8
bersalin	0.6
bersama	0.6
bersamamu	0.6
bersambang	0.8
bersangga	0.8
bersanggama	1.0
bersauh	0.8
bersaur	0.6
bersayap	0.8
bersekolah	0.6
berselawat	0.6
berseluk	0.6
bersemangat	0.8
bersemayam	0.8
bersembahyang	1.0
bersemi	0.6
bersenandung	0.8
bersendel	0.8
bersendeng	0.8
bersender	0.8
bersengat	1.0
berseni	0.8
berseri	0.8
bersesuaian	0.6
bersetuju	0.6
bersiap	0.2
bersimpati	0.8
bersimpuh	0.6
bersinar	0.8
bersitegang	0.8
berstatus	0.8
bersulur	0.6
bersumber	0.8
bersungguh-sungguh	0.8
bersyukur	1.0
bertahan	0.8
bertakwa	0.8
bertambatan	0.6
bertanduk	0.6
bertanya	0.4
bertanya-tanya	0.8
bertaraf	0.6
bertaruk	0.6
berteduh	0.6
berteguh hati	0.8
bertekan	0.2
