userName,tanggal,tahun,rating,ulasan,thumbsUp,versiApp,balasanBank,tanggalBalasan,reviewId
Benny Andrianto,2022-07-21,2022,5,Kereeeen.....,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:56:36,6a00fabf-7846-402a-9bf5-1ba396c0f2cb
Johan Suradiman,2022-07-21,2022,5,"New Jakone mobile, New Experience",0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 08:02:26,b02a6fda-170a-4f5f-b035-476e60d289ae
Fiton Wongso,2022-07-21,2022,5,Mempermudah transaksi perbankan,0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 08:02:09,59613346-8b99-4df9-847b-f59fb3528cf8
Alfian Hafiizh,2022-07-21,2022,5,"Aplikasi mobile banking yang bermanfaat,",0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 08:01:39,5d631f3b-4920-4b56-9ba9-64ac021e0353
ERDI CHANNEL,2022-07-21,2022,5,Good,0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 08:01:24,fe5cc6b9-6548-4d38-849f-eb85f1bf5d96
pras tyo,2022-07-21,2022,5,Mantaaap Bank DKI....,0,1.0.0,Terimakasih atas respon apresiatif Bapak / Ibu. Kami senantiasa akan meningkatkan layanan untuk nasabah.,2022-08-03 07:18:21,ebbc7313-6223-48fc-b590-0790a72dc988
Acep Hidayat,2022-07-21,2022,5,Ajib semakin asik,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:24:08,63b14638-0a13-4fc9-9830-d8830ee68707
anggun pertiwi,2022-07-21,2022,5,"Aplikasi keuangan yang sangat membantu dan mempermudah, tanpa harus pergi ke atm. Mantap",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:23:15,c3e2900d-ad8f-43ac-9f86-783a0480f284
Maria Hemas,2022-07-21,2022,5,Mantabsss smua Jd lebih mudah dengan new jakone mobile smua transaksi dlm 1 genggaman fiturnya jga semakin menarik..,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:22:25,fa5c1d3e-f346-4459-8368-ff5a2af2c6f5
Danny Ramdhan Nugraha,2022-07-21,2022,5,"Aplikasinya keren, gampang digunakan",1,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:20:25,497bca4c-742b-4338-9d4b-d2d44cd3a5e5
Hendarto Y Prabowo,2022-07-21,2022,5,Aplikasi yg komplit dan sangat muda dlm penggunaannya,0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 07:59:45,d547013f-3444-47e7-bad1-75122a88b5e5
Nopri Adi,2022-07-21,2022,5,Good,0,,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 07:46:37,87749538-31d0-4e92-acd8-cd9c273bafa1
Tria Maria,2022-07-21,2022,5,Bertransaksi jadi mudah praktis dan pasti ny aman 👍🏻👍🏻,0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 07:46:21,7182c00f-1a34-44e2-a98b-0da428f48a28
ramdhan Adikusumah,2022-07-21,2022,5,Tampilan baru dan user friendly.,0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 07:46:03,48ed25f1-c6bd-4083-955e-ac6ef7c25023
Lasmaria Tessalonika,2022-07-21,2022,5,Aplikasi yg memudahkan transaksi,0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 07:45:28,b4671f0e-88b8-4e4d-b260-5264ea0cac7b
Rizal Bandung,2022-07-21,2022,5,Luar biasa inovasi tanpa henti Bank DKI bagi kepuasan nasabahnya 🥳👍🏻,0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 07:42:45,790413c0-dfba-4421-880a-6d64a55dcda4
Fatkhuri Fatkhuri,2022-07-21,2022,5,Top,0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 07:42:31,0cb213ae-bc4f-4756-9732-e95e08f686fe
oktarina ishlahunnisa,2022-07-21,2022,5,memudahkan bertransaksi 👍,0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 07:42:06,849a51f5-5321-4499-b41d-edf16be39705
Abdul Hadi,2022-07-21,2022,5,New jakone mobile tampilan lebih kekinian dan lebih cepat,0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 07:41:51,f401924d-ce7d-48de-92de-8fe69660e15e
Supri Yanto,2022-07-21,2022,5,Mantap bro bank DKI punya inovasi baru lg dgn diluncurkannya new jakOne Mobile mudah-mudahan dpt memanjakan nasabahnya utk bertransaksi.,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan perbankan Bapak / Ibu.,2022-08-03 07:46:32,1c2bbeae-14d7-460d-8c0b-ec8b6bfb357d
Nurdiansyah Sudradjat,2022-07-21,2022,5,"Inovatif dan mudah cara penggunaanya, Fiturnya bagus dan mudah dipahami",0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 07:41:33,6afc4d8c-684f-44e6-90cb-6e25b0517066
fenny filomena,2022-07-21,2022,5,"New Jakone mobile makin okeh&lengkap, simple aplikasinya👍🏻👍🏻👍🏻",0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 07:41:01,6f2c013f-b249-476c-a2ac-39d7fa34627c
Windy Hardiyanti,2022-07-21,2022,5,Modern. Dan sangat informatif sekali,0,1.0.0,"Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.

",2025-09-18 08:02:40,a82ba13a-1033-47c4-b426-cd5203415baf
Rooni Rooni,2022-07-21,2022,5,Aplikasi yang memudahkan semua transaksi,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan perbankan Bapak / Ibu.,2022-08-03 09:08:45,f1659e3f-3577-4983-9ee1-0348c7ed00df
Faisal Hafid,2022-07-21,2022,5,"Maju terus bank dki, dengan new platform, memudahkan nasabah dan calon nasabah untuk bertransaksi dengan aman dan mudah. Sunggu the new experience yg menyenangkan👍👍👍",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:55:25,fe45484a-b923-48a5-b9ab-f771218df364
kharisma bangsa,2022-07-21,2022,5,Mantabs,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan perbankan Bapak / Ibu.,2022-08-03 09:11:05,a5715430-b94f-422e-8580-266e3470ea7d
indra warga,2022-07-21,2022,5,Rancak Bana aplikasi new jakone mobilenyo,0,,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:28:21,bc25795b-2891-4f99-bf56-22c81acd5ebf
Nourma Aliyatin,2022-07-21,2022,5,"Lebih cepat,lebih lengkap jelas lebih baik..Sukses terus Bank DKI",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:54:41,f5eef0b4-ade4-49b8-b9b7-86e33f56e342
micko rifai arief,2022-07-21,2022,5,GOOD APLIKASI MOBILE BANKING,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:53:58,f24e9eba-29d2-4ab7-8df8-92fecd04dc3b
Andini S Puteri,2022-07-21,2022,5,Kerenn.. lebih trendi..😍,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:51:37,f73234ae-796f-4886-b6b7-5ae9b3511ec0
Fakhri jamil,2022-07-21,2022,5,Tampilan nya wow,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:51:13,784745bb-5004-4e28-b60f-ed887af82d8a
Moehammad Anugerah Pamungkas,2022-07-21,2022,5,"Mantap,tampilan dan fitur nya bagus n keren,,,",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:50:52,f17f54ce-df05-4bfe-ab74-d95bdb723de3
Riska Anggreini,2022-07-21,2022,5,Wow...keren banget. Makin mudah untuk bertransaksi. Terima kasih Bank DKI..,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:49:39,3b253ee2-f45e-4e37-b5c7-7b2dc86d7702
Dzil Asraril,2022-07-21,2022,5,Lebih mudah dengan fitur-fitur terbaru nya dan sangat membantu.,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:49:16,9167052b-d3c2-47ef-9fbf-6ac1f64bf477
Azhar Wahyudi,2022-07-21,2022,5,New Jakone Mobile ini Aplikasi Yang Sangat Keren Jaya Terus Bank DKI di Darat Di Laut dan di Udara👍👍👍💖💖💖,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:48:54,7bc2623d-353a-4456-b054-d95e967348e7
Erza Fatwa,2022-07-21,2022,5,"Luar biasa terobasan Bank DKI, lebih mudah lancar dan menarik serta Amazing banget aplikasi nya",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:47:42,d6144b17-27bc-42f3-8d4d-b1fc5498d7b5
