kata_kunci,frekuensi_2022,rank_2022,top15_2022,frekuensi_2023,rank_2023,top15_2023,frekuensi_2024,rank_2024,top15_2024,muncul_di_semua_tahun,total_frekuensi
tidak,71,1,True,296,2,True,185,1,True,True,552
mau,43,10,True,281,3,True,179,2,True,True,503
masuk,48,8,True,255,5,True,156,3,True,True,459
malah,53,5,True,280,4,True,105,8,True,True,438
padahal,53,6,True,243,7,True,110,6,True,True,406
update,12,,False,325,1,True,25,,False,True,362
tapi,35,14,True,201,13,True,124,5,True,True,360
buka,18,,False,254,6,True,76,,False,True,348
lama,64,3,True,218,8,True,62,,False,True,344
terus,40,11,True,214,10,True,85,14,True,True,339
login,36,13,True,210,11,True,87,12,True,True,333
otp,66,2,True,147,,False,102,10,True,True,315
susah,25,,False,218,9,True,65,,False,True,308
tolong,19,,False,172,,False,110,7,True,True,301
udah,33,,False,160,,False,105,9,True,True,298
baru,56,4,True,184,15,True,56,,False,True,296
kenapa,31,,False,139,,False,98,11,True,True,268
lemot,7,,False,203,12,True,53,,False,True,263
gagal,46,9,True,118,,False,87,13,True,True,251
verifikasi,37,12,True,145,,False,50,,False,True,232
rekening,52,7,True,96,,False,81,15,True,True,229
buat,33,15,True,137,,False,58,,False,True,228
saldo,18,,False,67,,False,142,4,True,True,227
makin,8,,False,188,14,True,28,,False,True,224
