keyword,total_count,count,percentage,count_negatif,count_netral,count_positif
transaksi,1881,1881,13.2727,361,31,1489
transfer,1538,1538,10.8524,924,62,552
rekening,738,738,5.2075,292,44,402
error,701,701,4.9464,598,7,96
login,609,609,4.2972,451,50,108
otp,607,607,4.2831,351,99,157
saldo,566,566,3.9938,352,22,192
qris,493,493,3.4787,137,11,345
gagal,475,475,3.3517,413,14,48
kode,395,395,2.7872,229,58,108
aman,390,390,2.7519,29,4,357
verifikasi,342,342,2.4132,233,22,87
akun,199,199,1.4042,97,11,91
hilang,155,155,1.0937,125,3,27
password,130,130,0.9173,88,7,35
blokir,47,47,0.3316,27,6,14
pin,42,42,0.2964,28,1,13
penipuan,7,7,0.0494,4,0,3
fraud,0,0,0.0,0,0,0
bobol,0,0,0.0,0,0,0
