tahun,kategori_keluhan,contoh
2022,Login/akses aplikasi,Gagal verifikasi kode 5002 Sudah coba 3x tetep gabisa. Udah install ulang aplikasi sama aja. Pake WiFi dan pake kuota sama aja jadi bukan masalah jaringan. Tolong solusinya
2022,OTP/verifikasi/registrasi,"Parah.. aplikasi belum siap sudah di offkan yg lama, ga bisa buat transaksi kecuali lihat saldo diaplikasi lama ..aplikasi baru otp ga terkirim²..Niat ga sih bikin aplikasi"
2022,Transfer/transaksi/QRIS/top up,"Parah.. aplikasi belum siap sudah di offkan yg lama, ga bisa buat transaksi kecuali lihat saldo diaplikasi lama ..aplikasi baru otp ga terkirim²..Niat ga sih bikin aplikasi"
2022,Saldo/mutasi/refund terpotong,"Parah.. aplikasi belum siap sudah di offkan yg lama, ga bisa buat transaksi kecuali lihat saldo diaplikasi lama ..aplikasi baru otp ga terkirim²..Niat ga sih bikin aplikasi"
2022,Lemot/loading/performa aplikasi,"Parah.. aplikasi belum siap sudah di offkan yg lama, ga bisa buat transaksi kecuali lihat saldo diaplikasi lama ..aplikasi baru otp ga terkirim²..Niat ga sih bikin aplikasi"
2022,Update/versi aplikasi,Gagal verifikasi kode 5002 Sudah coba 3x tetep gabisa. Udah install ulang aplikasi sama aja. Pake WiFi dan pake kuota sama aja jadi bukan masalah jaringan. Tolong solusinya
2022,Akun/rekening/PIN/password,"Vermuk susah,bikin password susah Pulsa banyak,jaringan bagus.."
2023,Login/akses aplikasi,Saya buka aplikasi user ID sudah benar dan password sudah benar tapi kok masih di konci ya user nya Jadi selalu ditolak dengan kata user terkonci mohon pencarahanya
2023,OTP/verifikasi/registrasi,"Aplikasi bobrok, yang bikin tolol.. verifikasi wajah gagal terus, bobrok aplikasi tidak berguna, bagusan yang lama !!!!!!!! Buang buang pulsa doang buat kode otp.. tolol.. !!!"
2023,Transfer/transaksi/QRIS/top up,Aplikasi macam apa ini... 2 kali berturut turut transfer dengan keterangan transaksi tidak dapat dilakukan... Tapi saldonya kepotong padahal transaksinya belum berhasil...
2023,Saldo/mutasi/refund terpotong,Aplikasi macam apa ini... 2 kali berturut turut transfer dengan keterangan transaksi tidak dapat dilakukan... Tapi saldonya kepotong padahal transaksinya belum berhasil...
2023,Lemot/loading/performa aplikasi,"dipikir setelah update ada perubahan di liveness, ternyata sama saja. Pake data seluler maupun wifi sama2 stuck, ini servernya apa kenapa, ke CS pun ngga solved"
2023,Update/versi aplikasi,Adeuhhhh.... Ini aplikasi minta di update Mulu sihhh padahal seminggu yg lalu baru di update.... Rutin banget ganti versi.😔
2023,Akun/rekening/PIN/password,Saya buka aplikasi user ID sudah benar dan password sudah benar tapi kok masih di konci ya user nya Jadi selalu ditolak dengan kata user terkonci mohon pencarahanya
2024,Login/akses aplikasi,Knpa ya kalo masuk jakone mobile terjadi kesalahan melulu padahal sudah pakai data bukan wifi .. Susah untuk masuk ... Malah offline server nya..
2024,OTP/verifikasi/registrasi,"Aplikasi terlalu berat, qris sering tidak terbaca, loading page akibat aplkasi yg terlalu berat, verifikasi wajah yg sering kali tidak terbaca!!!!"
2024,Transfer/transaksi/QRIS/top up,"Aplikasi terlalu berat, qris sering tidak terbaca, loading page akibat aplkasi yg terlalu berat, verifikasi wajah yg sering kali tidak terbaca!!!!"
2024,Saldo/mutasi/refund terpotong,Knpa ya kalo masuk jakone mobile terjadi kesalahan melulu padahal sudah pakai data bukan wifi .. Susah untuk masuk ... Malah offline server nya..
2024,Lemot/loading/performa aplikasi,"Aplikasi terlalu berat, qris sering tidak terbaca, loading page akibat aplkasi yg terlalu berat, verifikasi wajah yg sering kali tidak terbaca!!!!"
2024,Update/versi aplikasi,"Mending versi yg lama,yg sekarang susah login nya. Setelah selesai daftar eh malah Verifikasi data gagal terus. Udah dicoba berkali-kali tetap saja nggak bisa."
2024,Akun/rekening/PIN/password,Akun mbanking saya tiba² terkunci maksudnya apa yaa? Tolong bisa di jelaskan
2025,Login/akses aplikasi,sering banget bermasalah ketika login.. user id dan pasword udah benar tapi tetep ngga bisa akses.. tolong lebih di tingkatkan lagi..
2025,OTP/verifikasi/registrasi,"saya ingin membuka rekening lewat aplikasi namun kenapa selalu tidak bisa saat ingin meminta kode otp sudah saya coba hapus kemudian install lagi, ini menyusahkan namanya"
2025,Transfer/transaksi/QRIS/top up,"Bank aneh ini, idul Fitri, TF antar bank gak bisa malah hilang di aplikasi nya, TF ke Ewallet juga hilang, di ATM juga gak bisa, entah ini bank apa,"
2025,Saldo/mutasi/refund terpotong,"jack one knp jadi seperti ini,,, banyak fitur2 yang hilang. makin kesini makin buruk saja."
2025,Lemot/loading/performa aplikasi,"Aplikasi gak siap dipakai untuk transaksi mending pakai yg lama aja, transfer ke beda bank masih tetap gak bisa"
2025,Update/versi aplikasi,Mau buka rekening tapi selalu error aplikasi dan data kependudukan nya belum update ada beberapa kabupaten yang tidak ada Mengecewakan
2025,Akun/rekening/PIN/password,sering banget bermasalah ketika login.. user id dan pasword udah benar tapi tetep ngga bisa akses.. tolong lebih di tingkatkan lagi..
2026,Login/akses aplikasi,min ini gimana saya top up 2 kali 1 jt 1jt yng masuk hanya 1 jt pdhl saldo udh kepotong haduuh saya harus urus KEMANA!!!
2026,OTP/verifikasi/registrasi,kirim otp berkali2 doang pulsa kepotong TPI bikin mbking kg bisa2
2026,Transfer/transaksi/QRIS/top up,min ini gimana saya top up 2 kali 1 jt 1jt yng masuk hanya 1 jt pdhl saldo udh kepotong haduuh saya harus urus KEMANA!!!
2026,Saldo/mutasi/refund terpotong,min ini gimana saya top up 2 kali 1 jt 1jt yng masuk hanya 1 jt pdhl saldo udh kepotong haduuh saya harus urus KEMANA!!!
2026,Lemot/loading/performa aplikasi,tolong di perbaiki ini aplikasinya lemot susah masuk
2026,Update/versi aplikasi,abis ngisi top up Jack card bank DKI 100 rb. malah gbisa update saldo. haduuh gmana ini bank DKI.
2026,Akun/rekening/PIN/password,uang saya hilabg di atm ini padahal gk ada oang tau pin saya sampe 0 rupiah
