clean_review,label_v1,label_v2,label_v3,skor_v1,skor_v2,skor_v3
kenapa mobile banking nya susah banget otp pakai pulsa pas udah diisi lambat alhasil ngulang tolong jangan dipersulit aplikasi nya,negatif,negatif,netral,-5.0,-5.0,0.0
bagus,positif,positif,positif,2.0,2.0,0.6
aplikasi bagus pegawai bank nya kerja nya tidak pecus nyesel kantor cabang tidak lagi2 pokok nya,negatif,negatif,positif,-9.0,-9.0,1.2000000000000002
sumpah kesel banget pas download dibuat kesal kode otp tidak muncul bahkan mencoba 4 setengah jam habiskan menunggu kode otp bahkan tidak masuk setelah percobaan tidak hasilnya ternyata tidak bisa mencoba yaap selanjutnya tidak bisa padahal ingin mengecek saldo jakcard,negatif,negatif,negatif,-27.0,-27.0,-2.4000000000000004
jaringan bagus setiap login aplikasi jakone keterangan tidak koneksi buka aplikasi lancar lancar,positif,positif,positif,1.0,1.0,2.2
persulit pensiunan saldo bekukan emang kita tidak butuh makan,positif,positif,positif,3.0,3.0,1.2
tahun tahun tidak peningkatan diaplikasi jakone ataupun offline nya amat mengecewakan,negatif,negatif,negatif,-4.0,-4.0,-0.8
error coba perbaiki masalah masalah sekiranya fatal langsung atasi,negatif,negatif,negatif,-13.0,-13.0,-3.0
aplikasi sampahhhh error mulu isi ewallet suka saldo nyangkut buka aplikasi nya pindahin uang tidak bisa dibuka kocakkkkkkkk tidak lagi2 pakai bank mending mandiri bsi,negatif,negatif,negatif,-12.0,-12.0,-3.4000000000000004
aplikasi kebanyakan errornya tidak perubahan tidak tindak lanjutin permasalahan sistemnya,negatif,negatif,netral,-16.0,-16.0,0.0
masukin kode otp sms nya padahal pulsa kartu aktif,negatif,negatif,negatif,-4.0,-4.0,-0.6
buka jakone mobile tidak bisa mulu padahal udah sesuai tolong tingkatkan sistem nya,positif,positif,negatif,2.0,2.0,-1.0
bagus alhamdulillah lancar selama sy pakai,positif,positif,positif,11.0,11.0,2.4000000000000004
buruk diatas jam 10 malem udah tidak bisa dibuka,negatif,negatif,negatif,-11.0,-11.0,-1.7999999999999998
please adain fitur perbaiki status dormant secara mandiri hadehh ribet cabang,negatif,negatif,negatif,-10.0,-10.0,-2.0
aplikasi tidak profesional lambat parah mending ganti it nya pakai it bank profesional,negatif,negatif,negatif,-8.0,-8.0,-1.6
loadingnya klo cek saldo,negatif,negatif,negatif,-2.0,-2.0,-0.8
merepotkan meresahkan kloh bintang 0 mah 0 nih,negatif,negatif,negatif,-4.0,-4.0,-0.8
keren aplikasi nya,negatif,negatif,positif,-4.0,-4.0,0.8
login,netral,netral,netral,0.0,0.0,0.0
error padahal sinyal bagus tetep tidak bisa masuk mbanking,negatif,negatif,negatif,-11.0,-11.0,-1.0
kesini parah bank dki susah transfer padahal saldo kepotong sesuai transfer cuman tidak masuk rek tujuan meskipun ntar lgi saldonya dlm 1x24 jam cuman mengganggu,negatif,negatif,negatif,-3.0,-3.0,-0.5999999999999999
parah error engga dievaluasi semoga depannya bisa lebih,negatif,negatif,negatif,-9.0,-9.0,-2.0
kenapa sih error padahal wifi dirumah oke adaa kendalanya tidak bisa dibuka timer out,negatif,negatif,negatif,-8.0,-8.0,-1.0
call center tidak setiap tlp kadang sibuk kadang tidak terdaftar tidak bisa call duit tidak tarik ketarik tidak rekomen asli dah,negatif,negatif,negatif,-19.0,-19.0,-0.19999999999999984
buka rekening bank dki online biar lebih mudah pulsa nya habis otp rentang 5 menit tidak bisa dipake tidak bisa salah dikit masukin otp dihapus udah langsung tidak bisa dipake,negatif,negatif,negatif,-11.0,-11.0,-1.4000000000000001
donwlot tidak bisa,negatif,negatif,negatif,-5.0,-5.0,-0.6
tolong perbaiki masa top up malem jam 8 malam saldo hilang masuk e wallet,positif,negatif,negatif,8.0,8.0,-0.3999999999999999
