clean_review,manual_label,label_v1,label_v3,benar_v1,benar_v3
aplikasi bodoh login kaga bisa,negatif,negatif,netral,True,False
pengen nambahin rekening 2 aplikasi ribet,negatif,negatif,negatif,True,True
aplikasi rekomen mudah digunakan pemula aplikasi userfriendly simpel fitur fitur menarik aplikasi jarang error pas digunakan pokoknya aplikasi membantu transaksi,positif,negatif,positif,False,True
pengguna e bank friendly user variasi transaksi bisa dilakukan disini amat mudah digunakan,positif,positif,positif,True,True
tampilan aplikasi enak banget tidak bikin sepet mata fitur fiturnya lumayan lengkap bisa beli pulsa token listrik udah coba hubungi cs standar pakai aplikasi cs responsif ramah yaa temukan cs aplikasi recomnended,positif,negatif,positif,False,True
versi tidak bisa update sih gmn y miter2 doang aplikasi,negatif,negatif,negatif,True,True
daftar rekening tidak bisa stak sms kode otp,negatif,negatif,negatif,True,True
tidak jelas verifikasi wajah gagal mulu liat tutorial praktek gagal aneh aplikasi support hp hp mahal,negatif,negatif,negatif,True,True
sih yeesss,netral,netral,positif,True,False
aplikasi terburuk login susah banget 404,negatif,negatif,negatif,True,True
aplikasi mudah gunakan tampilan keren aplikasi bisa menghasilkan uang,positif,negatif,positif,False,True
top,positif,positif,positif,True,True
sempet nyoba beberapa aplikasi mobile cuman setelah nyobain aplikasi menurut gue salah bisa diandelin bisa bayar pulsa listrik top up dll respon cs nya nyaman sabar bangett semoga tambah baikk,positif,positif,positif,True,True
bank dki kenapa setiap kjp cair ofline seminggu kita butuh belanja perlengkapan sekolah mesin edc ofline tolong pelayanan tingkatkan,positif,positif,negatif,True,False
awalnya pakai jakone mobile bayar listrik dll ternyata bisa qris deposito akhirnya pasti make aplikasi wkwkwk suka banget pokoknya membantu diriku mager megang cash mager keluar beli token listrik rekomen banget kalian mageran kek,positif,positif,positif,True,True
rating berbicara ciptain aplikasi tidak beres kekurangan dana yeh loading muter nyalahinnye pengguna suruh coba jelas2 aplikasi lo bermasalah,negatif,negatif,negatif,True,True
tidak bisa masuk data tidak hadeh gmana bank dki aplikasi setelah diperbaharui kok,negatif,negatif,positif,True,False
bagus praktis digunakan sehar hari sipp pokonya pertahankan kualitasnya jakone,positif,positif,positif,True,True
bagus aplikasi bisa transaksi usaha,positif,positif,positif,True,True
aplikasi perbankan terbaik muka bumi bayar transfer gampang banget sukses ya,positif,positif,positif,True,True
mantap pokoknya menggunakan m bank,positif,positif,positif,True,True
enak banget pakai daftar pakai qris nya mudah tidak ribet kayak aplikasi lainnya,positif,positif,positif,True,True
bank dki bisnis berbayar call center 1500 xxx,netral,netral,netral,True,True
aplikasi serba mudah diaplikasikan aplikasi bisa melakukan jenis transaksi beli pulsa paket data bayar tagihan air dll,positif,netral,positif,False,True
kenapa buruk sih bukanya pungsi jak one mempermudah memperburuk sih hadehhh,negatif,negatif,negatif,True,True
aplikasi bagus suka banget menggunakan aplikasi recommended deh pokoknya,positif,negatif,positif,False,True
fitur pembayaran berkurang tidak pembayaran air pam,negatif,negatif,negatif,True,True
aplikasi serba bisa mudah digunakan bermanfaat,positif,positif,positif,True,True
aplikasi mbangking terbaik bermanfaat mudah bertransaksi manapun recomended,positif,positif,positif,True,True
gimana layanan dibutuhkan hilang,negatif,positif,negatif,False,True
mantapppp,positif,netral,positif,False,True
kenapa ya tidak bisa transfer bank,negatif,negatif,negatif,True,True
mantap,positif,positif,positif,True,True
tidak bisa mengaitkan rekening kah,negatif,negatif,negatif,True,True
tolong perbaiki aplikasi lambat susah masuk,negatif,negatif,negatif,True,True
bagud,positif,netral,positif,False,True
parah fitur bi fast diupdate hilang,negatif,negatif,negatif,True,True
udah pakai aplikasi tampilan aplikasi lebih keren lebih lengkap fiturnya menurutku aplikasi mudah banget digunakan cepat setiap transaksi berjalan lancar mudah suka banget pokoknya tampilan,positif,positif,positif,True,True
benefit aplikasi mendapatkan reward rp600rb mendaftar,positif,negatif,netral,False,False
aplikasi mobile banking jelek dipake update bikin lambat,negatif,negatif,negatif,True,True
suka banget aplikasi deposite aman pembayaran cepat mudah,positif,positif,positif,True,True
gangguaaaaannnn bulan puasa transfer tidak bisa bi fast skrg butuh banget isi e wallet gangguan siang padahal pesan ojol uang cast habis,negatif,negatif,negatif,True,True
jangan nyuruh orang pastikan internet pastikan internet lambat aplikasi ayolah perbaiki jangan bicara seakan seakan kita kurang ngerti,negatif,negatif,positif,True,False
m banking maintenance mulu udah tgl 12 mei belum bisa,negatif,positif,negatif,False,True
registrasi mudah buka rekening gampang saldonya pencairan proses cepat,positif,positif,positif,True,True
jackone mobile ud seminggu tidak bisa antar bank tidak bisa pakai qris amat mengecewakan,negatif,negatif,negatif,True,True
abis update lebih aneh tidak bisa masuk user terkunci hahahaha unik banget ni aplikasi,negatif,negatif,positif,True,False
aplikasi mobile banking berguna banget buatnya mudah banget bisa secara online apalagi promonya jdi mantep,positif,positif,positif,True,True
daftar jakone mobile pas scane ktp tidak bisa2 ngehang keluar aplikasi masuk lgi daftar ulang lgi data kirim otp lgi lama2 pulsa gw abis nih gara2 scane ktp ngulang mulu otp mulu,negatif,negatif,negatif,True,True
mohon maaf kasih bintang 3 klw menurut versi kekurangan versi jackone mobile nya fitur lebih dipermudah 1 melihat mutasi rekening huruf nya menggeser keatas bawah 2 pembelian paket data tidak menampilkan provider masukan semoga cepat diperbaiki kedepan nya bisa lebih bagus,netral,positif,positif,False,False
aplikasi jempolan keren banget fiturnya lengkap bisa bayar kebutuhan kita tidak repot2 keluar rumah tinggal dri aplikasi,positif,netral,positif,False,True
error susah tarik uang tidak bisa transfer bank tidak bisa tranfer dana dompet elektronik aplikasi buruk kecewa,negatif,negatif,negatif,True,True
aplikasi susah banget masuk bikin password tolong perbaiki ya,negatif,negatif,netral,True,False
aplikasi mudah digunakan berguna melakukan beberapa pembayaran jga fitur memudahkan transaksi,positif,positif,positif,True,True
fitur nya keren mudah dipahami responsif pembuatan rekeningnya mudah,positif,positif,positif,True,True
mantap,positif,positif,positif,True,True
kenapa qris nya tidak bisa sih haduhhhhhh,negatif,negatif,negatif,True,True
kebanyakan gangguan mnding kaga gangguan mulu bae kaga bikin jakone bermasalah mulu,negatif,positif,negatif,False,True
tidak bisa setelah update,negatif,negatif,negatif,True,True
aplikasi enggk jelas kesini enggk jelas verivikasi 100x gagal,negatif,negatif,positif,True,False
salah aplikasi mobile banking terbaik berguna mengatur keuangan sehari hari memudahkan transaksi manapun kapanpun,positif,positif,positif,True,True
tidak bisa masuk log in siang,negatif,negatif,negatif,True,True
entah kenapa sesuatu dikelola campur tangan pemerintah masalah entah layanan online bahkan layanan offline sekalipun persulit kaya bola pingpong lempar lempar semoga pihak terkait ikut andil menyusahkan masyarakat lekas balas perbuatannya,negatif,positif,negatif,False,True
aplikasi oke punya mo transaksi kaga pakai ribet simpel mudah praktis,positif,positif,positif,True,True
keren banget new jakone mobile fiturnya lengkap transaksinya cepat,positif,positif,positif,True,True
knp nya setiap transfer jam 3 4 pagi bank tidak bisa gagal bgmn inih,negatif,negatif,negatif,True,True
keren banget tampilan nya fresh menampilkan ciri khas jakarta fitur nya lebih mudah akses lebih informasi promo nya bisa gunakan mercant plat form pembayara online offline,positif,positif,positif,True,True
aplikasi super lengkap disini kita bisa beli pulsa paket data internet promo2 menarik aplikasi mantapp pokonyaaa,positif,positif,positif,True,True
aplikasi tim aplikasi tidak membantu bahkan rugi merasa dibebani login doang cek rekening pelajar rasanya pakai aplikasi kayak udah bayar pajak negara masa login minta kode verfik bayar pulsa 2 100 udah gitu login pertama gagal padahal matiin hp bentaran login 2 kena biaya pulsa pas login udah punya rekening tidak bisa tolong bank dki mikir dikit,negatif,negatif,negatif,True,True
bi fast kemane bro,netral,netral,netral,True,True
cari cari mbanking bagus akhirnya nemu jakone bagus banget aplikasi menyarankan,positif,negatif,positif,False,True
pertama kalinya menggunakan jakone mobile susah masuknya minta kode otp coba berkali tidak kirim kode otp buang2 gimana min solusinya,negatif,negatif,negatif,True,True
kecewa top up dana tidak masuk padahal berkurang laporan tidak respon masa duit ilang tidak tau kmn,negatif,negatif,negatif,True,True
tampilan keren fiturnya bikin mudah nasabah transaksi mantap banget nih terpercaya,positif,positif,positif,True,True
gimana sih aplikasi ngurus gasih kayak aplikasi tidak terurus login susah nya minta ampun deh susah banget otp tidak masuk masuk udah coba hp nunggunya bangetttt banget banget,negatif,negatif,negatif,True,True
login diperlukan scan wajah percobaan melelahkan bahkan cs cabang terdekat gagal jg akhirnya bisa hr 5 percobaan lebih 10 hari mohon diperbaiki biar nasabah nyaman,negatif,positif,netral,False,False
best digital banking so far with useful features and very good ui,positif,positif,positif,True,True
simple bagus aplikasi potongan transfer bank 6 5k ckckck,positif,negatif,positif,False,True
aplikasi bank parah udah lag transfer dana pending berhari2 penanganan lambat parah parahhh,negatif,negatif,negatif,True,True
aplikasi error,negatif,negatif,negatif,True,True
admin setiap bulan potongan fee 5k fee yaa,netral,negatif,netral,False,True
aplikasi update tambah lambat,negatif,netral,negatif,False,True
berguna,positif,positif,positif,True,True
jakone membantu bertransaksi sehari hari,positif,positif,positif,True,True
tidak jelas,negatif,negatif,negatif,True,True
tampilan ui nya simple fresh support patment bisa deposito jugaa fleksibel sih,positif,positif,positif,True,True
mantap bang aplikasi nya membantu,positif,positif,positif,True,True
kaga bisa daftar aplikasi pea,negatif,negatif,netral,True,False
semenjak aplikasi nya update versi terbaru lambat loading nya lebih bagus cepat aplikasi mohon evaluasi kenapa harusnya bisa lebih terima kasih,positif,positif,positif,True,True
jenis ya aplikasi jakone aplikasi sy beda,netral,negatif,positif,False,False
terima kasih,positif,positif,positif,True,True
tidak bisa transfer antar bank bank dki nyusahin repot transaksi bank dki,negatif,negatif,negatif,True,True
aplikasi nyedot duit topup dana tidak masuk mutasi nya kepotong saldo berkurang,negatif,negatif,positif,True,False
akun hangus,negatif,negatif,negatif,True,True
aplikasi daftar aplikasi nomor gagal tulisannya data tidak temukan giliran pakai nomor verifikasi wajah susah banget tidak jelas parah,negatif,negatif,negatif,True,True
aplikasi info kurang smart transaksi pembelian pembayaran niliai dibawa 50 otp sedangkan otp bayar sms otp kenapa tidak jualan paket sms otp tidak 24 jam lebih ok aplikasi belum lauching aplikasi hilang,negatif,negatif,negatif,True,True
daftar sistem error berkali coba error setiap reg pakai otp otp gagal habis pulsa sms otp doang bisa masuk enggak,negatif,negatif,negatif,True,True
perubahan baguss,positif,positif,positif,True,True
aplikasi mudah gunakan tampilan keren bagus ayo download,positif,positif,positif,True,True
aplikasi lemottt banget,negatif,negatif,positif,True,False
