label,keyword,count
negatif,login,468
negatif,otp,525
negatif,transfer,961
negatif,transaksi,331
negatif,saldo,321
negatif,akun,118
negatif,pin,32
negatif,verifikasi,271
negatif,error,588
negatif,update,342
negatif,maintenance,40
negatif,notifikasi,15
negatif,password,87
negatif,rekening,316
negatif,gagal,380
negatif,lambat,247
negatif,lemot,0
negatif,gangguan,69
netral,login,29
netral,otp,26
netral,transfer,57
netral,transaksi,53
netral,saldo,19
netral,akun,7
netral,pin,2
netral,verifikasi,12
netral,error,18
netral,update,47
netral,maintenance,10
netral,notifikasi,1
netral,password,7
netral,rekening,28
netral,gagal,17
netral,lambat,18
netral,lemot,0
netral,gangguan,12
positif,login,112
positif,otp,56
positif,transfer,520
positif,transaksi,1497
positif,saldo,226
positif,akun,74
positif,pin,8
positif,verifikasi,59
positif,error,95
positif,update,233
positif,maintenance,22
positif,notifikasi,11
positif,password,36
positif,rekening,394
positif,gagal,78
positif,lambat,212
positif,lemot,0
positif,gangguan,48
